review,label
一下子爆發的一連串,0
一夕成名,1
一大打擊,0
一大步,1
一大指標,1
一大突破,1
一大問題,0
一大勝利,1
一大障礙,0
一己之力,1
一分打點,1
一反,0
一反前態,0
一夫當關,1
一巴掌,0
一心想,1
一手造成,0
一文不值,0
一日千里,1
一片譁然,0
一再,1
一再,1
一再出現,1
一再叮囑,0
一再受挫,0
一同競爭,1
一吐為快,1
一向,1
一向認為,1
一如,1
一如以往,1
一如往昔,1
一如預期,1
一字不差,1
一帆風順,1
一死,0
一屁股,0
一肚子氣,0
一肚子壞水,0
一見鍾情,1
一事無成,0
一併打破,1
一併移轉,1
一併通過,1
一味,1
一味,1
一味反對,0
一味討好,0
一命嗚呼,0
一定,1
一定可以,1
一定是,1
一定要,1
一定要像,1
一定時間,1
一定能,1
一定參加,1
一定得,1
一定程度,1
一定會,1
一定會是,1
一往情深,1
一枝獨秀,1
一爭高下,1
一直,1
一直是,1
一直堅持,1
一知半解,0
一秉,1
一雨成災,0
一律,1
一律列入,1
一昧,0
一昧要求,0
一流,1
一炮而紅,1
一致,1
一致公認,1
一致支持,1
一致同意,1
一致決,1
一致決議,1
一致性,1
一致宣布,1
一致建議,1
一致看好,1
一致通過,1
一面倒,1
一面倒,1
一個屁,0
一個機會,1
一個頭兩個大,0
一個願打一個願挨,0
一哭二鬧三上吊,0
一席之地,1
一拳,0
一時大意,0
一氣,0
一氣之下,0
一笑置之,1
一級棒,1
一般殺人罪,0
一陣狂風,0
一陣緊張,0
一張臭臉,0
一桿進洞,1
一統,1
一統江山,1
一貫,1
一逕,0
一雪前恥,1
一勝難求,0
一勝難求郎,0
一廂情願,1
一廂情願,1
一掌,0
一減再減,0
一無所悉,0
一番波折,0
一番苦戰,0
一發不可收拾,0
一筆帶過,0
一開始,1
一意,1
一意孤行,0
一腳踹開,0
一落千丈,0
一路平安,1
一路長紅,1
一路順風,1
一路過關斬將,1
一路緊咬,1
一路趕上,1
一路領先,1
一路攀升,1
一路穩健,1
一道大菜,1
一團混亂,0
一團糟,0
一摑,0
一槍斃了你,0
一種威脅,0
一窩蜂,1
一語帶過,0
一鳴驚人,1
一樣,1
一樣有效,1
一樣容易,1
一盤未失,1
一箭之仇,0
一線生機,1
一線曙光,1
一錯再錯,0
一頭熱,1
一頭熱,1
一償宿願,1
一臂之力,1
一舉成名,1
一舉解決,1
一舉擊敗,1
一點也沒有幫,0
一點用都沒有,0
一點點,0
一壘安打,1
一蹶不振,0
一蹴可幾,1
一籌未展,0
一觸即發,0
一躍上前,1
乙太,1
乙級,1
七零八落,0
七竅生煙,0
九五之尊,1
九霄雲外,1
了不起,1
了去,1
了事,0
了度,1
了然於心,1
了然於胸,1
了結,0
了結生命,0
了解,1
了解商情,1
了斷,1
二百五,1
二弟,1
二度傷害,0
二哥,1
二級,1
二等會員,0
二齒,1
人人自危,0
人山人海,1
人才,1
人不如狗,0
人心所向,1
人心惶惶,0
人父,1
人必自侮而後人侮之,0
人必自重而後人重之,1
人民不安,0
人生不就是如此,0
人生至樂,1
人吃人,0
人身攻擊,0
人身傷害,0
人事不省,0
人味,1
人性,1
人品,1
人流,1
人為,0
人為,1
人為失當,0
人為疏失,0
人師,1
人格,1
人格高尚,1
人氣,1
人氣天王,1
人氣王,1
人氣巨星,1
人氣高,1
人氣鼎沸,1
人神共憤,0
人脈,1
人情,1
人情味,1
人逢喜事精神爽,1
人單勢孤,0
人渣,0
人間蒸發,0
人微言輕,0
人猿,1
人道,1
人道精神,1
人道關懷,1
人盡皆知,1
人稱,1
人影,1
人數眾多,1
人潮,1
人窮志短,0
人機璧還,1
人體,1
入土為安,1
入世,1
入主,1
入耳,1
入味,1
入侵,0
入侵,1
入室,1
入星,1
入射,1
入神,1
入迷,1
入迷,1
入迷的人,0
入帳,1
入港,1
入葬,1
入夥,1
入榜,1
入墾,1
入選,1
入選,1
八成是,1
八卦,0
八股,0
八格,1
八景,1
刀刃,0
刀口,1
刀光血影,0
刀尖,1
刀尾,1
刀背,1
刀割,0
刁難,0
刁鑽,0
刁鑽狡猾,0
力不從心,0
力主,1
力克,1
力克,1
力抗,0
力求,1
力言,1
力取,1
力取,1
力拚,1
力爭,1
力爭上游,1
力保,1
力保,1
力保江山,1
力促,1
力持,1
力挽狂瀾,1
力留,1
力退,1
力鬥,1
力陳,1
力圖,1
力圖,1
力圖振作,1
力圖趕上,1
力盡,0
力戰,1
力擒,1
力擒,1
力邀,1
匕首,0
十分,1
十分方便,1
十分成功,1
十分有利,1
十分自在,1
十分壯觀,1
十分相似,1
十分重要,1
十分重視,1
十分容易,1
十分特別,1
十分神似,1
十分接近,1
十分清楚,1
十分渺茫,0
十分感謝,1
十分稱職,1
十分熟悉,1
十分複雜,0
十分擔心,0
十分激烈,1
十分激賞,1
十分踴躍,1
十分艱辛,0
十分簡單,1
十分關切,1
十分難聞,0
十分驚訝,0
十足,1
十拿九穩,1
十勝投手,1
十預,1
又不是,0
又有何妨,1
又有表現,1
又長又密,1
又非,0
又是,1
又氣,0
又深又刁,1
又深又強,1
又深又猛,1
又遠又準,1
又穩又準,1
又贏了,1
三八,0
三大要項,1
三分打點,1
三分全壘打,1
三分彈,1
三足鼎立,1
三度塞揚獎,1
三思,1
三思而後行,1
三流,0
三強林立,1
三連,1
三連霸,1
三圍,1
三壘打,1
三贏,1
三響砲,1
下三爛,0
下不了台,0
下手,0
下令,1
下令停止,0
下功夫,1
下半身思考,0
下去,1
下台,0
下台一鞠躬,0
下市,1
下田,1
下地獄,0
下沈,0
下定決心,1
下放,1
下垂,0
下垂度,0
下毒,0
下毒手,0
下流,0
下重手,0
下降,0
下挫,0
下挫,1
下殺,0
下陷,0
下等,0
下裂,1
下跌,0
下滑,0
下落不明,0
下達,1
下達,1
下獄,0
下墜,0
