review,label
"想請問亞東醫院的情況是，願意自費，但醫師不願意開藥，或醫院沒有藥嗎?
然後藥物價格好像落差蠻大的?亞東說15000-20000，但看台北醫院藥方為2000左右?",0
"我覺得是你想太多
怎麼可能有人可以那麼靠近你刺你然後你還不知道？
超詭異",1
"逆風一下

為何預設是被人攻擊

也可能是碰到什麼導致

但是一直跑醫院跟心理的煎熬是辛苦了",1
根據上課教的針扎流程，愛滋病毒是很弱的病毒，離開血液幾乎存活不了，我覺得可以不用太擔心，反倒是B、C肝這種得到的機率比愛滋病還要高太多，但大家都怕愛滋病…愛滋病現在藥物那麼多好好吃藥跟一般人沒兩樣，倒是BC肝才要小心（如果體內沒有B肝抗體要自費一針一萬的抗體，24小時內注射）,0
希望沒事🙏,1
辛苦妳了跑來跑去各家醫院,0
辛苦了，但愛滋確實有潛伏期，當下驗不出來要過一陣子再驗，祝平安。,1
"所以還是不知道原因嗎？
感覺超可怕",1
"愛滋病毒是無法在針頭上存活很久，幾乎不會造成感染；而像醫護人員工作時不小心被針扎而碰到愛滋的血液或體液感染的機率也低於0.33%，而且只要在72小時之內接受預防性投藥，就可以阻斷病毒在體內繁殖與感染。

貼個衛福部的文降低你的恐慌 但你也有投藥了",0
問的過程都沒人跟你講的有潛伏期嗎…？,0
記者真的惟恐天下不亂^_^,0
"不管是誰
真的很過分😡",0
"我覺得妳有危機意識很好 但也不要過度恐慌
妳說的受傷的位置除非是要刻意攻擊不然應該是很難弄到
但刻意攻擊的話應該妳當下就會發現或是監視器一定會拍到
所以也有可能是妳在某處可能為了閃避或是某個不小心的路人身上的東西戳到妳
無論如何祝妳的結果是好的, 也希望真相早點水落石出(可以的話回來補個後續)",1
捷運監視器是幾乎沒有死角的，請一定要捷運公司保留錄影檔，才能知道發生了什麼事。,1
"受傷點在手臂內側、沒有印象有人靠近自己
通常有人靠近自己不是會有眼角餘光看到嗎？ 他還得拿著一根針把你的手臂抓住翻出手臂內側然後刺下去
這麼多步驟你都沒有感覺？
我覺得不太可能",1
辛苦了 希望沒事,1
